ID;Kontinent;Land;Region;Gattung;Unterkategorie;Fachlicher_Name;Gebraeuchlicher_Name_DE;Synonyme;Nutzung_Stichworte;Wirkung_Stichworte;Merkmale_Kurz;Besonderes;Band_Kapitel_Referenz;Bild_Platzhalter;QR_Platzhalter;Quelle_URL_oder_Kuerzel
B27-020001;Afrika;Kenia;;Schote;Orchidaceae;Armoracia rusticana;Meerrettich;Kren;"Finish;Tafel";aromatisch;harzig;kultisch;;illu-b27-B27-020001;qr-b27-B27-020001;
B27-020002;Afrika;Marokko;;Heilpflanze;Präparat;Salvia rosmarinus;Rosmarin;Rosmarinus;Aromatherapie;kühl;würzig;hochwertig;;illu-b27-B27-020002;qr-b27-B27-020002;
B27-020003;Asien;Indien;;Getränk;Kaffee;Mentha spicata;Minze;Spearmint;"Backen;Dessert";kühl;süsslich;selten;;illu-b27-B27-020003;qr-b27-B27-020003;
B27-020004;Ozeanien;Fidschi;;Salz;Meersalz;Commiphora myrrha;Myrrhe;;"Medizin;Heilung";appetitanregend;holzartig;kultisch;;illu-b27-B27-020004;qr-b27-B27-020004;
B27-020005;Asien;Thailand;;Tee;Oolong;Boswellia sacra;Weihrauch;Olibanum;"Sauce;Marinade";appetitanregend;würzig;regional variabel;;illu-b27-B27-020005;qr-b27-B27-020005;
B27-020006;Asien;Japan;;Mischung;Gewürzmischung;Allium cepa;Zwiebel;Onion;"Snack;Süssspeisen";schärfe;würzig;regional variabel;;illu-b27-B27-020006;qr-b27-B27-020006;
B27-020007;Europa;Italien;;Tee;Grüntee;Laurus nobilis;Lorbeer;Bay Leaf;"Finish;Tafel";wärmend;fruchtig;fermentiert;;illu-b27-B27-020007;qr-b27-B27-020007;
B27-020008;Asien;Indonesien;;Mischung;Gewürzmischung;Coriandrum sativum;Koriander;Koriandersamen;"Würzen;Einlegen";aromatisch;zitronig;DOP;;illu-b27-B27-020008;qr-b27-B27-020008;
B27-020009;Ozeanien;Fidschi;;Gewürz;Samen;Mentha x piperita;Pfefferminze;;Aromatherapie;verdauungsfördernd;würzig;reguliert;;illu-b27-B27-020009;qr-b27-B27-020009;
B27-020010;Südamerika;Bolivien;;Tee;Schwarztee;Theobroma cacao;Kakao;Cocoa;"Sauce;Marinade";schärfe;würzig;DOP;;illu-b27-B27-020010;qr-b27-B27-020010;
B27-020011;Südamerika;Bolivien;;Tee;Grüntee;Camellia sinensis;Tee;Grüntee;Aromatherapie;beruhigend;zitronig;regional variabel;;illu-b27-B27-020011;qr-b27-B27-020011;
B27-020012;Nordamerika;Kuba;;Getränk;Kakao;Mentha spicata;Minze;Spearmint;"Fisch;Fleisch";schärfe;fruchtig;reguliert;;illu-b27-B27-020012;qr-b27-B27-020012;
B27-020013;Asien;Japan;;Getränk;Kakao;Cinnamomum cassia;Zimt (Cassia);Chinesischer Zimt;"Parfum;Räuchern";anregend;erdig;kultisch;;illu-b27-B27-020013;qr-b27-B27-020013;
B27-020014;Afrika;Kenia;;Getränk;Tee;Coriandrum sativum;Koriander;Koriandersamen;"Backen;Dessert";verdauungsfördernd;süsslich;hochwertig;;illu-b27-B27-020014;qr-b27-B27-020014;
B27-020015;Ozeanien;Australien;;Gewürz;Schoten;Capsicum annuum;Paprika;Chili;"Fisch;Fleisch";mild;würzig;reguliert;;illu-b27-B27-020015;qr-b27-B27-020015;
B27-020016;Südamerika;Kolumbien;;Öl;Pflanzenöl;Coffea arabica;Kaffee;Arabica;"Würzen;Einlegen";aromatisch;holzartig;reguliert;;illu-b27-B27-020016;qr-b27-B27-020016;
B27-020017;Nordamerika;Jamaika;;Heilpflanze;Präparat;Capsicum chinense;Habanero;;"Medizin;Heilung";appetitanregend;rauchig;historisch;;illu-b27-B27-020017;qr-b27-B27-020017;
B27-020018;Asien;Nepal;;Harz;Harz;Theobroma cacao;Kakao;Cocoa;"Medizin;Heilung";schärfe;süsslich;regional variabel;;illu-b27-B27-020018;qr-b27-B27-020018;
B27-020019;Asien;China;;Samen;Samen;Syzygium aromaticum;Nelke;Gewürznelke;"Currys;Mischung";anregend;würzig;kultisch;;illu-b27-B27-020019;qr-b27-B27-020019;
B27-020020;Europa;Türkei;;Gewürz;Samen;Mentha spicata;Minze;Spearmint;"Snack;Süssspeisen";beruhigend;herb;Basis für Mischungen;;illu-b27-B27-020020;qr-b27-B27-020020;
B27-020021;Nordamerika;Guatemala;;Getränk;Tee;Piper nigrum;Pfeffer;Tellicherry;"Currys;Mischung";anregend;zitronig;reguliert;;illu-b27-B27-020021;qr-b27-B27-020021;
B27-020022;Südamerika;Venezuela;;Getränk;Kaffee;Cinnamomum cassia;Zimt (Cassia);Chinesischer Zimt;"Parfum;Räuchern";mild;fruchtig;DOP;;illu-b27-B27-020022;qr-b27-B27-020022;
B27-020023;Ozeanien;Australien;;Getränk;Kakao;Wasabia japonica;Wasabi;;"Würzen;Einlegen";anregend;süsslich;Basis für Mischungen;;illu-b27-B27-020023;qr-b27-B27-020023;
B27-020024;Afrika;Äthiopien;;Mischung;Gewürzmischung;Coriandrum sativum;Koriander;Koriandersamen;"Fisch;Fleisch";appetitanregend;zitronig;DOP;;illu-b27-B27-020024;qr-b27-B27-020024;
B27-020025;Nordamerika;Jamaika;;Tee;Grüntee;Vanilla planifolia;Vanille;Bourbon;"Tee;Getränk";anregend;blumig;fermentiert;;illu-b27-B27-020025;qr-b27-B27-020025;
B27-020026;Ozeanien;Papua-Neuguinea;;Essenz;Aromatisch;Elettaria cardamomum;Kardamom;Grüner Kardamom;"Suppen;Eintopf";anregend;würzig;hochwertig;;illu-b27-B27-020026;qr-b27-B27-020026;
B27-020027;Nordamerika;Kuba;;Kräuter;Lamiaceae;Capsicum chinense;Habanero;;"Medizin;Heilung";verdauungsfördernd;holzartig;kultisch;;illu-b27-B27-020027;qr-b27-B27-020027;
B27-020028;Südamerika;Peru;;Schote;Orchidaceae;Commiphora myrrha;Myrrhe;;"Suppen;Eintopf";appetitanregend;erdig;selten;;illu-b27-B27-020028;qr-b27-B27-020028;
B27-020029;Asien;Nepal;;Frucht;Früchte;Myristica fragrans;Muskatnuss;Muskat;"Medizin;Heilung";mild;harzig;Basis für Mischungen;;illu-b27-B27-020029;qr-b27-B27-020029;
B27-020030;Nordamerika;Kuba;;Getränk;Kaffee;Coriandrum sativum;Koriander;Koriandersamen;"Würzen;Einlegen";schärfe;herb;Basis für Mischungen;;illu-b27-B27-020030;qr-b27-B27-020030;
B27-020031;Nordamerika;Kuba;;Salz;Steinsalz;Thymus vulgaris;Thymian;Thym;"Currys;Mischung";kühl;erdig;kultisch;;illu-b27-B27-020031;qr-b27-B27-020031;
B27-020032;Südamerika;Venezuela;;Tee;Oolong;Mentha spicata;Minze;Spearmint;Aromatherapie;verdauungsfördernd;harzig;hochwertig;;illu-b27-B27-020032;qr-b27-B27-020032;
B27-020033;Nordamerika;USA;;Salz;Steinsalz;Cinnamomum verum;Zimt (Ceylon);Kaneel;"Finish;Tafel";appetitanregend;süsslich;regional variabel;;illu-b27-B27-020033;qr-b27-B27-020033;
B27-020034;Nordamerika;Mexiko;;Salz;Meersalz;Capsicum chinense;Habanero;;"Tee;Getränk";wärmend;herb;selten;;illu-b27-B27-020034;qr-b27-B27-020034;
B27-020035;Ozeanien;Australien;;Samen;Samen;Curcuma longa;Kurkuma;Gelbwurz;"Fisch;Fleisch";aromatisch;zitronig;hochwertig;;illu-b27-B27-020035;qr-b27-B27-020035;
B27-020036;Europa;Türkei;;Essenz;Aromatisch;Curcuma longa;Kurkuma;Gelbwurz;"Fisch;Fleisch";verdauungsfördernd;herb;selten;;illu-b27-B27-020036;qr-b27-B27-020036;
B27-020037;Afrika;Ägypten;;Salz;Meersalz;Erythroxylum coca;Coca-Blatt;;"Suppen;Eintopf";verdauungsfördernd;erdig;hochwertig;;illu-b27-B27-020037;qr-b27-B27-020037;
B27-020038;Südamerika;Bolivien;;Öl;Pflanzenöl;Cinnamomum cassia;Zimt (Cassia);Chinesischer Zimt;"Fisch;Fleisch";verdauungsfördernd;nussig;Basis für Mischungen;;illu-b27-B27-020038;qr-b27-B27-020038;
B27-020039;Europa;Griechenland;;Salz;Steinsalz;Mentha x piperita;Pfefferminze;;"Currys;Mischung";mild;süsslich;selten;;illu-b27-B27-020039;qr-b27-B27-020039;
B27-020040;Europa;Frankreich;;Mischung;Gewürzmischung;Myristica fragrans;Muskatnuss;Muskat;"Suppen;Eintopf";beruhigend;würzig;hochwertig;;illu-b27-B27-020040;qr-b27-B27-020040;
B27-020041;Südamerika;Chile;;Getränk;Kaffee;Theobroma cacao;Kakao;Cocoa;"Sauce;Marinade";beruhigend;harzig;reguliert;;illu-b27-B27-020041;qr-b27-B27-020041;
B27-020042;Afrika;Madagaskar;;Gewürz;Beerengewürz;Piper nigrum;Pfeffer;Tellicherry;"Currys;Mischung";verdauungsfördernd;rauchig;reguliert;;illu-b27-B27-020042;qr-b27-B27-020042;
B27-020043;Nordamerika;Kuba;;Wurzel;Rhizome;Capsicum chinense;Habanero;;"Medizin;Heilung";anregend;zitronig;fermentiert;;illu-b27-B27-020043;qr-b27-B27-020043;
B27-020044;Afrika;Südafrika;;Getränk;Tee;Foeniculum vulgare;Fenchel;Finocchio;"Snack;Süssspeisen";schärfe;blumig;Basis für Mischungen;;illu-b27-B27-020044;qr-b27-B27-020044;
B27-020045;Afrika;Tansania;;Samen;Samen;Theobroma cacao;Kakao;Cocoa;"Tee;Getränk";aromatisch;fruchtig;AOP;;illu-b27-B27-020045;qr-b27-B27-020045;
B27-020046;Asien;Japan;;Öl;Pflanzenöl;Erythroxylum coca;Coca-Blatt;;"Backen;Dessert";mild;rauchig;hochwertig;;illu-b27-B27-020046;qr-b27-B27-020046;
B27-020047;Afrika;Südafrika;;Getränk;Kaffee;Syzygium aromaticum;Nelke;Gewürznelke;"Currys;Mischung";appetitanregend;süsslich;historisch;;illu-b27-B27-020047;qr-b27-B27-020047;
